State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
HIMACHAL PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
JAMMU & KASHMIR,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
JHARKHAND,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
KARNATAKA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
KERALA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
MADHYA PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
MAHARASHTRA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),3,4,0,0,0,7
MANIPUR,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
MEGHALAYA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
MIZORAM,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
